model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Fiesta,2018,16500,Manual,10026,Petrol,150,40.3,1.5
 Focus,2018,11397,Manual,14668,Petrol,145,61.4,1.0
 Fiesta,2018,10795,Manual,27107,Petrol,145,65.7,1.0
 Focus,2018,13000,Manual,11589,Diesel,145,74.3,1.5
 Focus,2017,10099,Manual,28099,Diesel,0,74.3,1.5
 Focus,2018,12899,Manual,12073,Diesel,145,74.3,1.5
 Galaxy,2016,18250,Manual,40080,Diesel,125,56.5,2.0
 Focus,2015,8462,Manual,45549,Petrol,20,60.1,1.0
 Fiesta,2016,8760,Manual,21578,Petrol,0,65.7,1.0
 Kuga,2015,11990,Manual,40902,Diesel,125,60.1,2.0
 Fiesta,2009,3895,Manual,65000,Petrol,150,47.9,1.6
 Focus,2019,15370,Manual,6736,Petrol,145,60.1,1.0
 EcoSport,2017,8998,Manual,45755,Diesel,150,64.2,1.5
 Kuga,2019,17700,Manual,5519,Diesel,145,45.6,1.5
 Focus,2015,9250,Manual,24614,Petrol,20,61.4,1.0
 Grand C-MAX,2016,9991,Manual,26611,Petrol,30,54.3,1.0
 Fiesta,2015,7490,Manual,24500,Diesel,0,76.4,1.5
 EcoSport,2017,8292,Manual,65480,Petrol,125,52.3,1.0
 EcoSport,2015,7995,Manual,22500,Petrol,125,52.3,1.0
 Mondeo,2017,12500,Automatic,45346,Diesel,145,58.9,2.0
 Kuga,2017,16997,Manual,6240,Petrol,145,45.6,1.5
 Focus,2017,17387,Manual,22342,Petrol,145,41.5,2.0
 Focus,2019,18500,Manual,4417,Petrol,145,60.1,1.0
 Grand Tourneo Connect,2017,13995,Manual,45461,Diesel,150,64.2,1.5
 EcoSport,2016,8750,Manual,25434,Petrol,125,52.3,1.0
 Focus,2016,10250,Manual,30086,Diesel,0,74.3,1.5
 Focus,2011,3495,Manual,102000,Diesel,30,62.8,1.6
 Kuga,2017,15195,Automatic,20688,Petrol,235,38.2,1.5
 Fiesta,2014,7900,Manual,14175,Petrol,0,65.7,1.0
 Focus,2018,10491,Manual,30370,Petrol,145,58.9,1.0
 Fiesta,2017,9000,Manual,13054,Petrol,145,54.3,1.2
 Galaxy,2018,18000,Manual,31961,Diesel,145,56.5,2.0
 Tourneo Custom,2016,12995,Manual,73000,Diesel,200,44.8,2.0
 Fiesta,2019,14850,Manual,2587,Petrol,145,58.9,1.0
 Focus,2015,13399,Manual,23178,Petrol,200,41.5,2.0
 Grand C-MAX,2018,15970,Semi-Auto,1587,Diesel,150,51.4,1.5
 Fiesta,2014,6495,Manual,54249,Petrol,30,54.3,1.2
 Focus,2017,14998,Automatic,8543,Petrol,145,46.3,1.5
 Focus,2009,3895,Manual,90000,Diesel,145,54.2,1.8
 Focus,2017,9998,Manual,28761,Diesel,0,74.3,1.5
 Mondeo,2019,22899,Automatic,4665,Hybrid,135,47.1,2.0
 EcoSport,2017,10695,Manual,13156,Diesel,145,64.2,1.5
 EcoSport,2017,10300,Manual,15191,Diesel,30,64.2,1.5
 Fiesta,2013,5998,Manual,50052,Petrol,30,54.3,1.2
 Fiesta,2009,3895,Manual,61171,Petrol,145,49.6,1.2
 Fiesta,2018,10600,Manual,22727,Petrol,145,56.5,1.0
 EcoSport,2017,9800,Manual,22411,Diesel,145,64.2,1.5
 Fiesta,2018,12500,Automatic,7047,Petrol,145,48.7,1.0
 Focus,2016,9463,Manual,39275,Diesel,0,74.3,1.5
 Fiesta,2019,16750,Manual,2053,Petrol,145,60.1,1.0
 Tourneo Connect,2016,13990,Manual,16740,Diesel,30,64.2,1.5
 Kuga,2017,12498,Manual,29430,Diesel,30,64.2,1.5
 Focus,2016,13815,Manual,48628,Diesel,20,67.3,2.0
 B-MAX,2018,9000,Manual,31894,Petrol,145,55.4,1.0
 Fiesta,2019,17500,Manual,6200,Petrol,145,40.3,1.5
 Focus,2017,10100,Manual,20800,Diesel,0,74.3,1.5
 Kuga,2016,15500,Automatic,28860,Diesel,145,52.3,2.0
 Kuga,2014,11395,Semi-Auto,26021,Diesel,200,45.6,2.0
 Mondeo,2017,13985,Semi-Auto,51000,Diesel,125,57.7,2.0
 Fiesta,2014,6812,Manual,25104,Petrol,30,54.3,1.2
 Focus,2012,7000,Manual,46849,Diesel,20,67.3,1.6
 Fiesta,2019,19999,Manual,9000,Petrol,145,40.3,1.5
 Fiesta,2017,9789,Semi-Auto,21899,Petrol,0,57.7,1.0
 Fiesta,2016,9990,Manual,9562,Petrol,0,65.7,1.0
 Fiesta,2016,8798,Manual,19815,Petrol,0,65.7,1.0
 Fiesta,2016,8799,Manual,10380,Petrol,0,65.7,1.0
 Fiesta,2017,9950,Manual,32482,Petrol,0,65.7,1.0
 Fiesta,2015,9699,Manual,42214,Petrol,145,47.9,1.6
 Ka+,2017,8495,Manual,8887,Petrol,145,57.7,1.2
 Ka+,2018,9790,Manual,9358,Petrol,150,43.5,1.2
 Focus,2019,17320,Manual,3850,Petrol,145,60.1,1.0
 Focus,2017,18299,Manual,13014,Petrol,200,41.5,2.0
 Fiesta,2016,7999,Manual,31757,Diesel,0,78.5,1.5
 Focus,2019,19000,Manual,3756,Petrol,145,60.1,1.0
 Focus,2019,18990,Manual,8400,Petrol,145,60.1,1.0
 Fiesta,2013,5000,Manual,69455,Petrol,30,54.3,1.2
 Fiesta,2019,14990,Manual,1637,Petrol,145,56.5,1.0
 EcoSport,2020,17500,Manual,500,Petrol,145,53.3,1.0
 Fiesta,2014,7132,Manual,29639,Petrol,30,54.3,1.2
 Fiesta,2017,11999,Manual,27616,Petrol,145,47.9,1.6
 Fiesta,2017,9200,Manual,25182,Petrol,20,62.8,1.0
 EcoSport,2019,15999,Automatic,999,Petrol,145,45.6,1.0
 Fiesta,2017,7790,Manual,28510,Petrol,0,65.7,1.0
 Ka+,2017,7500,Manual,36262,Petrol,145,57.7,1.2
 Fiesta,2017,8498,Manual,14110,Petrol,150,54.3,1.2
 Fiesta,2018,11490,Manual,8819,Petrol,145,65.7,1.0
 Fiesta,2019,12880,Manual,9018,Petrol,145,58.9,1.0
 Fiesta,2017,10000,Manual,20911,Petrol,150,65.7,1.0
 Mondeo,2016,9495,Manual,63372,Diesel,30,64.2,2.0
 Edge,2017,19600,Manual,19027,Diesel,145,48.7,2.0
 Fiesta,2017,9100,Manual,29396,Petrol,145,65.7,1.0
 Fiesta,2016,7999,Manual,60730,Diesel,0,78.5,1.5
 EcoSport,2018,11995,Manual,6918,Petrol,145,54.3,1.0
 Fiesta,2020,15500,Manual,2462,Petrol,150,58.9,1.0
 B-MAX,2015,8000,Automatic,14312,Petrol,165,44.1,1.6
 Focus,2017,10998,Manual,49742,Diesel,150,74.3,1.5
 Focus,2019,14890,Manual,11399,Petrol,145,58.9,1.0
 Fiesta,2018,11295,Manual,9132,Petrol,145,58.9,1.0
 EcoSport,2017,12000,Manual,10545,Petrol,150,52.3,1.0
 Focus,2018,16998,Manual,8488,Diesel,150,70.6,2.0
 Grand C-MAX,2017,11495,Manual,24501,Diesel,145,64.2,1.5
 Focus,2017,12000,Manual,31249,Diesel,0,74.3,1.5
 Focus,2017,12980,Manual,11600,Petrol,150,51.4,1.5
 Focus,2015,9291,Manual,51731,Diesel,0,74.3,1.5
 Fiesta,2017,7798,Manual,16302,Petrol,145,54.3,1.2
 Fiesta,2018,10499,Manual,12289,Petrol,145,65.7,1.0
 Mondeo,2020,22000,Manual,47,Diesel,145,65.7,2.0
 Focus,2017,9774,Manual,26437,Petrol,145,61.4,1.0
 Edge,2018,28495,Automatic,13726,Diesel,145,37.2,2.0
 Focus,2017,15500,Manual,30801,Diesel,20,67.3,2.0
 Fiesta,2017,8998,Manual,10673,Petrol,125,54.3,1.2
 Fiesta,2017,9499,Manual,17378,Petrol,145,65.7,1.0
 Fiesta,2018,10285,Manual,12786,Petrol,145,65.7,1.0
 Focus,2017,25990,Manual,13626,Petrol,145,36.7,2.3
 C-MAX,2019,16000,Manual,2237,Petrol,145,48.7,1.0
 Fiesta,2016,9995,Manual,8067,Petrol,20,62.8,1.0
 Kuga,2019,18691,Manual,151,Diesel,145,38.2,2.0
 Focus,2018,12700,Manual,15705,Petrol,145,57.7,1.0
 Fiesta,2020,16891,Manual,3862,Petrol,150,49.6,1.0
 Focus,2018,12498,Manual,13559,Petrol,145,60.1,1.0
 KA,2015,5995,Manual,29444,Petrol,30,57.7,1.2
 Mondeo,2013,7995,Automatic,45050,Diesel,160,50.4,2.0
 Focus,2018,12000,Manual,14162,Diesel,145,74.3,1.5
 Fiesta,2018,10500,Manual,19434,Petrol,145,65.7,1.0
 Focus,2017,9900,Manual,35500,Diesel,0,74.3,1.5
 Fiesta,2019,12600,Manual,10608,Petrol,145,60.1,1.0
 Focus,2019,14250,Manual,4654,Petrol,145,60.1,1.0
 Fiesta,2016,8250,Manual,24220,Petrol,0,65.7,1.0
 Fiesta,2017,9445,Manual,20000,Petrol,145,65.7,1.0
 Fiesta,2019,14499,Manual,8386,Petrol,145,58.9,1.0
 Fiesta,2019,13775,Manual,4597,Petrol,145,56.5,1.0
 Fiesta,2018,10990,Manual,28138,Petrol,145,56.5,1.0
 Kuga,2013,10140,Manual,35074,Diesel,200,47.9,2.0
 B-MAX,2013,5995,Manual,42996,Diesel,20,70.6,1.6
 Focus,2019,19990,Manual,2280,Diesel,145,57.7,1.5
 Focus,2013,6365,Manual,59669,Petrol,30,56.5,1.0
 Fiesta,2018,14500,Manual,4906,Petrol,150,49.6,1.0
 C-MAX,2017,11995,Manual,14000,Petrol,30,55.4,1.0
 Fiesta,2017,8444,Manual,42787,Petrol,150,65.7,1.0
 Focus,2018,11490,Manual,18997,Petrol,145,60.1,1.0
 Fiesta,2016,9000,Manual,23209,Petrol,0,65.7,1.0
 Focus,2018,15999,Manual,33210,Diesel,145,74.3,1.5
 Focus,2019,16698,Manual,4542,Petrol,145,60.1,1.0
 Focus,2014,8390,Manual,18680,Diesel,20,67.3,1.6
 S-MAX,2017,19750,Semi-Auto,28000,Diesel,160,51.4,2.0
 Fiesta,2017,7460,Manual,40126,Petrol,145,65.7,1.0
 Fiesta,2019,14998,Semi-Auto,16506,Petrol,150,48.7,1.0
 Kuga,2019,19995,Manual,2100,Petrol,145,39.2,1.5
 Kuga,2018,18995,Manual,7624,Diesel,145,54.3,1.5
 Fiesta,2020,17990,Manual,494,Petrol,145,53.3,1.0
 Galaxy,2010,4490,Automatic,114000,Petrol,300,34.9,2.0
 EcoSport,2017,10000,Manual,21954,Petrol,150,53.3,1.0
 Fiesta,2018,10770,Manual,31306,Petrol,145,56.5,1.0
 Fiesta,2019,14698,Manual,8438,Petrol,145,58.9,1.0
 Fiesta,2017,8299,Manual,37986,Petrol,145,65.7,1.0
 Focus,2017,11999,Manual,17296,Diesel,145,74.3,1.5
 Focus,2019,19075,Automatic,5671,Diesel,145,64.2,2.0
 Focus,2015,9072,Manual,23000,Petrol,20,58.9,0.0
 Fiesta,2018,11250,Manual,16787,Petrol,145,56.5,1.0
 Fiesta,2017,9989,Manual,17221,Petrol,145,65.7,1.0
 Ka+,2019,9995,Manual,2367,Petrol,150,47.9,1.2
 Focus,2017,10498,Manual,32873,Diesel,145,74.3,1.5
 C-MAX,2017,10498,Manual,15454,Diesel,20,68.9,1.5
 Fiesta,2018,9495,Manual,15835,Petrol,150,64.2,1.1
 Focus,2013,5450,Manual,79285,Diesel,20,67.3,1.6
 Focus,2015,6690,Manual,76216,Petrol,20,61.4,1.0
 B-MAX,2015,7250,Manual,56000,Petrol,30,55.4,1.0
 Fiesta,2015,7500,Manual,33399,Petrol,0,65.7,1.0
 Focus,2017,16899,Manual,21065,Petrol,145,41.5,2.0
 Fiesta,2017,12000,Manual,5925,Petrol,0,65.7,1.0
 Focus,2018,15000,Manual,15918,Petrol,145,60.1,1.0
 Fiesta,2018,10700,Manual,3329,Petrol,145,65.7,1.0
 Fiesta,2017,9499,Manual,14607,Petrol,145,65.7,1.0
 Kuga,2015,8725,Manual,73506,Diesel,125,60.1,2.0
 Focus,2017,11491,Manual,11045,Petrol,150,60.1,1.0
 Focus,2018,29390,Manual,7005,Petrol,150,36.7,2.3
 EcoSport,2015,7720,Manual,55417,Diesel,30,61.4,1.5
 Focus,2018,16990,Manual,19500,Petrol,145,58.9,1.0
 KA,2014,4499,Manual,21303,Petrol,30,57.7,1.2
 Focus,2016,9082,Manual,41940,Diesel,0,74.3,1.5
 Focus,2017,12298,Manual,22163,Diesel,145,74.3,1.5
 Fiesta,2017,10695,Automatic,12974,Petrol,145,57.7,1.0
 Fiesta,2017,9995,Automatic,51800,Petrol,145,54.3,1.0
 Fiesta,2017,9850,Manual,6229,Petrol,145,65.7,1.0
 Fiesta,2020,19990,Manual,2629,Petrol,145,55.4,1.0
 Fiesta,2014,7599,Manual,26536,Petrol,0,65.7,1.0
 EcoSport,2018,14290,Manual,10083,Petrol,145,53.3,1.0
 Puma,2019,21200,Manual,10,Petrol,150,50.4,1.0
 Fiesta,2017,9998,Manual,28519,Petrol,20,62.8,1.0
 Fiesta,2010,3695,Manual,57440,Petrol,125,50.4,1.2
 Fiesta,2016,9500,Manual,28530,Petrol,20,62.8,1.0
 EcoSport,2018,13599,Manual,19806,Petrol,150,54.3,1.0
 Kuga,2017,15990,Automatic,21845,Petrol,145,38.2,1.5
 Kuga,2017,14290,Manual,23444,Diesel,145,64.2,1.5
 Focus,2019,16800,Automatic,4000,Diesel,145,67.3,1.5
 EcoSport,2016,11000,Manual,2700,Petrol,125,53.3,1.0
 EcoSport,2018,14690,Manual,4352,Petrol,145,54.3,1.0
 Focus,2014,6500,Manual,45073,Petrol,20,58.9,1.0
 Focus,2017,18030,Manual,15310,Diesel,145,67.3,2.0
 Fiesta,2016,8299,Manual,13788,Petrol,125,54.3,1.2
 Focus,2016,9275,Manual,27450,Petrol,20,61.4,1.0
 Fiesta,2019,12998,Manual,10102,Petrol,145,58.9,1.0
 Fiesta,2019,12249,Manual,2131,Petrol,145,55.4,1.1
 Mustang,2020,38489,Automatic,3500,Petrol,145,30.7,2.3
 Focus,2016,9999,Manual,16000,Petrol,20,60.1,1.0
 Kuga,2016,14995,Manual,40136,Diesel,145,54.3,2.0
 Kuga,2018,14995,Manual,27750,Petrol,145,45.6,1.5
 Fiesta,2016,7290,Manual,54184,Diesel,0,88.3,1.5
 Fiesta,2014,7499,Manual,82508,Petrol,145,47.9,1.6
 Kuga,2017,14990,Semi-Auto,13562,Diesel,145,58.9,1.5
 Fiesta,2016,9049,Manual,23813,Petrol,20,62.8,1.0
 Fiesta,2018,10000,Manual,12490,Petrol,150,64.2,1.1
 Kuga,2017,15500,Manual,13240,Diesel,150,60.1,2.0
 Focus,2017,12997,Semi-Auto,14392,Petrol,125,51.4,1.0
 Fiesta,2018,12499,Manual,8700,Petrol,145,58.9,1.0
 Focus,2017,16500,Manual,22730,Diesel,145,67.3,2.0
 Fiesta,2015,7995,Manual,28000,Petrol,0,65.7,1.0
 Fiesta,2019,11800,Manual,16334,Petrol,145,60.1,1.0
 Focus,2014,8391,Manual,11254,Petrol,30,56.5,1.0
 Ka+,2018,8421,Manual,18653,Petrol,145,54.3,1.2
 Focus,2019,15240,Manual,13206,Diesel,150,80.7,1.5
 Focus,2019,17295,Manual,4870,Petrol,150,58.9,1.0
 Tourneo Custom,2019,24995,Manual,6375,Diesel,145,32.5,2.0
 S-MAX,2016,15520,Manual,22497,Diesel,125,56.5,2.0
 Galaxy,2013,7599,Automatic,73701,Diesel,200,47.1,2.0
 C-MAX,2015,6495,Manual,53172,Diesel,30,61.4,1.6
 Kuga,2018,20000,Manual,4992,Diesel,145,54.3,2.0
 Fiesta,2017,8500,Manual,17812,Petrol,145,54.3,1.2
 Focus,2017,15997,Manual,14203,Diesel,145,67.3,2.0
 Focus,2017,10995,Manual,21020,Diesel,0,74.3,1.5
 Kuga,2017,15770,Semi-Auto,9963,Diesel,145,58.9,1.5
 EcoSport,2016,7900,Manual,50848,Diesel,30,64.2,1.5
 Fiesta,2019,17000,Semi-Auto,6450,Petrol,145,48.7,1.0
 Kuga,2018,18430,Automatic,13733,Petrol,145,38.2,1.5
 Focus,2015,8498,Manual,25169,Diesel,0,74.3,1.5
 Focus,2018,10295,Manual,33946,Petrol,145,60.1,1.0
 Focus,2017,18490,Manual,14457,Diesel,145,67.3,2.0
 Fiesta,2017,9250,Semi-Auto,27133,Petrol,0,57.7,1.0
 Focus,2017,12975,Manual,11000,Petrol,145,51.4,0.0
 EcoSport,2019,16800,Manual,4586,Petrol,145,51.4,1.0
 Kuga,2018,17369,Manual,10945,Petrol,150,39.2,1.5
 Kuga,2017,16507,Manual,21184,Diesel,145,54.3,2.0
 Fiesta,2018,9600,Manual,16875,Petrol,145,65.7,1.0
 C-MAX,2017,12495,Manual,4019,Petrol,160,44.1,1.6
 Focus,2019,17520,Manual,4487,Petrol,145,60.1,1.0
 Fiesta,2018,11500,Manual,12383,Petrol,145,65.7,1.0
 Fiesta,2019,13998,Manual,5887,Petrol,145,58.9,1.0
 Fiesta,2019,12495,Manual,13576,Petrol,145,58.9,1.0
 Kuga,2018,15270,Manual,37484,Diesel,145,54.3,2.0
 Fiesta,2018,11350,Manual,20824,Petrol,150,65.7,1.0
 C-MAX,2016,10000,Manual,24966,Diesel,20,68.9,1.5
 Focus,2015,6991,Manual,45123,Petrol,20,60.1,1.0
 Fiesta,2018,10980,Manual,13672,Petrol,145,65.7,1.0
 Focus,2017,17299,Manual,26062,Diesel,145,67.3,2.0
 Grand C-MAX,2016,10099,Manual,17621,Diesel,30,64.2,1.5
 Fiesta,2017,9991,Manual,26394,Petrol,145,65.7,1.0
 Fiesta,2013,6250,Manual,20930,Petrol,30,54.3,1.2
 Focus,2015,9450,Semi-Auto,20445,Petrol,160,44.8,1.6
 Kuga,2016,10999,Manual,34879,Diesel,125,60.1,2.0
 Fiesta,2017,8750,Manual,17899,Petrol,0,65.7,1.0
 Mustang,2018,25000,Manual,21632,Petrol,145,35.3,2.3
 EcoSport,2018,13890,Manual,7500,Petrol,150,54.3,1.0
 Kuga,2019,18500,Manual,5787,Diesel,150,54.3,1.5
 Focus,2017,16000,Manual,19193,Petrol,145,41.5,2.0
 Fiesta,2019,14995,Manual,12,Petrol,145,55.4,1.0
 Kuga,2017,14699,Manual,18535,Diesel,125,60.1,2.0
 Puma,2019,21700,Manual,127,Petrol,145,50.4,1.0
 EcoSport,2018,13000,Manual,19108,Petrol,145,54.3,1.0
 Focus,2017,10490,Manual,37000,Diesel,150,74.3,1.5
 Kuga,2018,17800,Automatic,33421,Diesel,145,54.3,2.0
 Focus,2017,16000,Manual,22060,Petrol,200,41.5,2.0
 Mondeo,2015,8000,Manual,81170,Diesel,125,57.7,2.0
 Fiesta,2013,6595,Manual,33842,Petrol,30,54.3,1.2
 Focus,2013,6000,Automatic,44000,Petrol,165,44.1,1.6
 Focus,2017,9998,Manual,30605,Diesel,0,74.3,1.5
 Fiesta,2018,11200,Manual,12019,Petrol,145,65.7,1.0
 Fiesta,2018,11900,Manual,9080,Petrol,145,62.8,1.0
 Fiesta,2013,6100,Manual,35183,Petrol,30,54.3,1.2
 Focus,2018,14600,Manual,7119,Diesel,145,80.7,1.5
 Focus,2017,10995,Manual,24006,Diesel,0,74.3,1.5
 Ka+,2018,8295,Manual,6313,Petrol,150,57.7,1.2
 Edge,2017,20800,Automatic,27471,Diesel,150,48.7,2.0
 Ka+,2018,7799,Manual,16658,Petrol,145,57.7,1.2
 Fiesta,2017,10848,Manual,15000,Petrol,145,65.7,1.0
 Focus,2017,25499,Manual,28066,Petrol,235,36.7,2.3
 Focus,2013,7182,Manual,56984,Diesel,20,67.3,1.6
 Focus,2013,3995,Manual,89411,Diesel,0,83.1,1.6
 Fiesta,2016,8890,Manual,29580,Petrol,0,65.7,1.0
 Focus,2018,16495,Manual,24344,Petrol,145,60.1,1.0
 Fiesta,2016,7147,Manual,32780,Petrol,0,65.7,1.0
 Kuga,2019,18495,Manual,9902,Diesel,145,47.9,2.0
 EcoSport,2018,13000,Manual,29357,Petrol,150,54.3,1.0
 Fiesta,2016,8000,Manual,49566,Petrol,0,65.7,1.0
 Fiesta,2013,6260,Manual,33550,Diesel,0,76.4,1.5
 Focus,2020,22995,Manual,5817,Petrol,145,60.1,1.0
 Fiesta,2017,8491,Manual,23048,Petrol,145,65.7,1.0
 Kuga,2019,17499,Manual,11692,Diesel,145,47.9,2.0
 Fiesta,2019,11950,Manual,14796,Petrol,145,56.5,1.0
 Fiesta,2017,10000,Manual,15217,Petrol,0,65.7,1.0
 EcoSport,2018,12891,Manual,16156,Petrol,145,54.3,1.0
 C-MAX,2015,8400,Manual,34670,Diesel,20,68.9,1.5
 Fiesta,2015,7250,Manual,19913,Petrol,0,65.7,1.0
 Focus,2019,17140,Manual,7987,Petrol,145,60.1,1.0
 Kuga,2017,18470,Semi-Auto,32839,Diesel,150,54.3,2.0
 Focus,2015,7990,Manual,55000,Diesel,0,74.3,1.5
 Fiesta,2016,8516,Manual,33350,Petrol,20,62.8,1.0
 EcoSport,2015,7995,Manual,28761,Diesel,30,61.4,1.5
 Fiesta,2017,9487,Manual,26700,Petrol,145,65.7,1.0
 Fiesta,2017,10000,Manual,3736,Petrol,0,65.7,1.0
 Fiesta,2016,7780,Manual,37981,Petrol,0,65.7,1.0
 Focus,2017,17252,Manual,15834,Petrol,145,41.5,2.0
 Kuga,2019,19000,Manual,13673,Petrol,150,35.3,1.5
 Kuga,2019,18997,Manual,9036,Petrol,145,39.2,1.5
 Focus,2019,15530,Manual,3061,Petrol,145,60.1,1.0
 Fiesta,2017,9130,Manual,29466,Petrol,0,65.7,1.0
 Fiesta,2015,6600,Manual,34986,Petrol,0,65.7,1.0
 Fiesta,2017,9489,Manual,29307,Petrol,145,65.7,1.0
 Kuga,2015,10191,Manual,50000,Diesel,165,47.9,2.0
 Kuga,2014,10490,Manual,51356,Diesel,145,53.3,2.0
 Focus,2017,16000,Manual,38359,Diesel,145,67.3,2.0
 EcoSport,2017,9189,Manual,31998,Petrol,145,44.8,1.5
 EcoSport,2019,17000,Manual,12000,Petrol,145,54.3,1.0
 Fiesta,2019,14995,Manual,51,Petrol,145,58.9,1.0
 Focus,2018,14000,Manual,14858,Petrol,145,57.7,1.0
 Fiesta,2018,11999,Manual,2691,Petrol,150,65.7,1.0
 Fiesta,2018,10979,Manual,16430,Petrol,145,65.7,1.0
 Focus,2017,11798,Manual,14772,Diesel,150,74.3,1.5
 Fiesta,2013,7820,Manual,17066,Petrol,0,65.7,1.0
 Focus,2018,16995,Manual,16250,Petrol,145,60.1,1.0
 Focus,2008,1290,Manual,137000,Diesel,150,54.3,1.8
 Kuga,2019,21600,Automatic,2492,Petrol,150,29.4,1.5
 Fiesta,2018,12500,Manual,15000,Petrol,145,65.7,1.0
 Ka+,2018,9250,Manual,7812,Petrol,145,47.9,1.2
 Fiesta,2017,10990,Semi-Auto,17983,Petrol,150,54.3,1.0
 Focus,2015,9798,Manual,18733,Diesel,0,74.3,1.5
 Kuga,2017,15489,Manual,6706,Diesel,145,64.2,1.5
 B-MAX,2017,10199,Manual,14685,Petrol,30,56.5,1.0
 Fiesta,2016,11499,Manual,24300,Petrol,145,47.9,1.6
 Focus,2014,5490,Semi-Auto,71445,Petrol,165,44.1,1.6
 EcoSport,2019,14999,Manual,13994,Petrol,145,53.3,1.0
 Mondeo,2016,15393,Automatic,10969,Petrol,235,38.2,2.0
 EcoSport,2018,14000,Manual,26372,Petrol,145,54.3,1.0
 Fiesta,2018,11200,Manual,17138,Petrol,145,65.7,1.0
 Fiesta,2017,12499,Manual,4277,Petrol,145,62.8,1.0
 Focus,2019,16498,Automatic,12245,Petrol,145,51.4,1.0
 Fiesta,2014,6400,Manual,74047,Petrol,20,62.8,1.0
 Mondeo,2015,10995,Manual,66509,Diesel,125,58.9,2.0
 Focus,2017,11399,Automatic,20928,Petrol,125,51.4,1.0
 Kuga,2020,32995,Automatic,11,Hybrid,135,201.8,2.5
 KA,2014,4898,Manual,22609,Petrol,30,57.7,1.2
 Fiesta,2017,11499,Manual,18419,Petrol,145,62.8,1.0
 Fiesta,2017,7999,Manual,26213,Diesel,0,78.5,1.5
 Fiesta,2013,6999,Automatic,62000,Petrol,0,57.7,1.0
 B-MAX,2013,5489,Manual,41144,Diesel,20,68.9,1.5
 Kuga,2017,15999,Manual,19660,Diesel,145,60.1,2.0
 Fiesta,2018,11690,Manual,8156,Petrol,145,65.7,1.0
 Kuga,2017,16770,Semi-Auto,9992,Diesel,145,54.3,2.0
 Focus,2019,17150,Manual,10633,Petrol,145,60.1,1.0
 Tourneo Custom,2017,19194,Manual,64432,Diesel,145,44.8,2.0
 Focus,2017,11900,Semi-Auto,18396,Petrol,125,51.4,1.0
 Fiesta,2018,12295,Automatic,25090,Petrol,150,54.3,1.0
 Focus,2018,11495,Manual,10738,Petrol,145,61.4,1.0
 Fiesta,2017,10698,Semi-Auto,11235,Petrol,0,57.7,1.0
 S-MAX,2019,21495,Manual,13000,Diesel,145,56.5,2.0
 Fiesta,2019,16500,Manual,4578,Petrol,145,58.9,1.0
 Kuga,2019,21000,Manual,6008,Petrol,145,35.3,1.5
 Focus,2015,9200,Manual,32000,Petrol,20,60.1,1.0
 Kuga,2017,17000,Manual,19900,Petrol,145,45.6,1.5
 Fiesta,2018,12470,Manual,6653,Diesel,145,88.3,1.5
 Fiesta,2017,8998,Manual,21267,Petrol,145,64.2,1.1
 B-MAX,2017,9030,Manual,24000,Diesel,0,74.3,1.5
 Focus,2008,3695,Automatic,65782,Petrol,260,37.7,1.6
 Focus,2019,15390,Manual,5341,Petrol,145,60.1,1.0
 Fiesta,2018,11270,Manual,27401,Petrol,145,56.5,1.0
 Focus,2014,5895,Manual,59306,Petrol,30,56.5,1.0
 Fiesta,2018,10495,Manual,16275,Petrol,145,65.7,1.0
 Focus,2019,16700,Automatic,12555,Petrol,145,41.5,1.0
 Fiesta,2018,9700,Manual,16716,Petrol,145,64.2,1.1
 Focus,2018,13000,Semi-Auto,9099,Petrol,150,51.4,1.0
 Kuga,2019,19000,Manual,5242,Diesel,145,36.7,2.0
 Fiesta,2015,7777,Manual,7939,Petrol,30,54.3,1.2
 Fiesta,2014,6221,Manual,46321,Petrol,30,54.3,1.2
 Focus,2003,3999,Manual,56064,Petrol,325,31.0,2.0
 Fiesta,2016,8791,Manual,22542,Petrol,0,65.7,1.0
 Focus,2017,11799,Manual,21069,Diesel,0,74.3,1.5
 Fiesta,2017,7999,Manual,36987,Petrol,145,54.3,1.2
 Focus,2019,16477,Manual,292,Petrol,145,49.6,1.0
 Fiesta,2016,10499,Manual,32742,Petrol,145,47.9,1.6
 Fiesta,2018,9680,Manual,37960,Petrol,145,65.7,1.0
 Focus,2015,8498,Manual,46668,Diesel,0,74.3,1.5
 Mondeo,2015,9500,Manual,45506,Diesel,20,68.9,2.0
 Fiesta,2017,10250,Manual,26766,Petrol,0,65.7,1.0
 Fiesta,2015,8000,Manual,26323,Petrol,0,65.7,1.0
 B-MAX,2013,5572,Semi-Auto,55920,Petrol,165,44.1,1.6
 Ka+,2018,7600,Manual,11834,Petrol,145,57.7,1.2
 Mondeo,2017,10440,Manual,51318,Diesel,20,67.3,2.0
 Ka+,2017,7625,Manual,13404,Petrol,145,57.7,1.2
 Focus,2015,10495,Semi-Auto,18230,Diesel,20,67.3,1.5
 Mondeo,2020,22000,Manual,10,Diesel,145,65.7,2.0
 Kuga,2017,13900,Manual,33059,Diesel,125,60.1,2.0
 Focus,2016,9059,Manual,57477,Diesel,0,74.3,1.5
 Fiesta,2017,7995,Manual,18250,Petrol,125,54.3,1.2
 KA,2014,4298,Manual,30658,Petrol,30,57.7,1.2
 EcoSport,2017,12999,Manual,7453,Petrol,125,52.3,1.0
