branch,city,customer_type,gender,product_line,total,payment_method,rating,time_of_day,day_name
B,Mandalay,Member,Male,Food and beverages,182353.5,Ewallet,8.9,morning,Thursday
A,Yangon,Normal,Female,Electronic accessories,45612.0,Credit card,6.2,morning,Thursday
C,Naypyitaw,Member,Female,Food and beverages,1402899.75,Cash,6.7,morning,Saturday
B,Mandalay,Member,Male,Fashion accessories,440464.49999999994,Cash,7.2,morning,Thursday
C,Naypyitaw,Member,Male,Sports and travel,127464.75,Credit card,9.0,evening,Saturday
A,Yangon,Member,Male,Food and beverages,1062337.5,Ewallet,4.2,morning,Sunday
A,Yangon,Member,Female,Sports and travel,548856.0,Ewallet,4.2,afternoon,Wednesday
B,Mandalay,Member,Male,Sports and travel,686070.0,Cash,6.9,evening,Sunday
C,Naypyitaw,Member,Male,Electronic accessories,692291.25,Ewallet,4.4,evening,Thursday
A,Yangon,Member,Male,Food and beverages,931108.5,Credit card,4.0,morning,Wednesday
C,Naypyitaw,Member,Female,Fashion accessories,410697.0,Ewallet,8.5,evening,Thursday
A,Yangon,Normal,Female,Food and beverages,338688.0,Credit card,9.2,afternoon,Thursday
A,Yangon,Member,Female,Food and beverages,144285.75,Cash,9.8,evening,Wednesday
B,Mandalay,Member,Female,Home and lifestyle,1042854.75,Credit card,4.9,afternoon,Thursday
B,Mandalay,Normal,Female,Fashion accessories,1311187.5,Credit card,4.4,morning,Saturday
B,Mandalay,Member,Male,Fashion accessories,143876.25,Cash,6.8,afternoon,Saturday
B,Mandalay,Member,Female,Food and beverages,248472.0,Cash,9.1,evening,Saturday
A,Yangon,Normal,Male,Sports and travel,191740.5,Ewallet,8.7,afternoon,Saturday
B,Mandalay,Member,Male,Health and beauty,1300635.0,Cash,5.0,afternoon,Thursday
A,Yangon,Member,Male,Home and lifestyle,251842.50000000003,Ewallet,7.5,afternoon,Friday
A,Yangon,Normal,Female,Fashion accessories,19041.75,Credit card,8.2,evening,Saturday
A,Yangon,Normal,Male,Sports and travel,1010992.5,Credit card,6.7,afternoon,Saturday
A,Yangon,Normal,Male,Electronic accessories,370014.75,Ewallet,5.4,evening,Tuesday
A,Yangon,Member,Male,Food and beverages,263875.5,Credit card,7.0,morning,Tuesday
B,Mandalay,Normal,Male,Home and lifestyle,471082.5,Ewallet,4.7,morning,Monday
B,Mandalay,Member,Male,Food and beverages,377574.75,Credit card,5.0,evening,Wednesday
B,Mandalay,Member,Male,Health and beauty,1046902.4999999999,Credit card,5.0,afternoon,Tuesday
A,Yangon,Normal,Male,Health and beauty,319173.75,Credit card,6.0,evening,Sunday
C,Naypyitaw,Normal,Female,Electronic accessories,72765.0,Cash,6.3,afternoon,Tuesday
B,Mandalay,Member,Female,Food and beverages,138836.25,Cash,8.5,afternoon,Friday
B,Mandalay,Normal,Male,Fashion accessories,247684.5,Ewallet,7.5,evening,Wednesday
B,Mandalay,Member,Female,Food and beverages,466782.74999999994,Ewallet,6.4,evening,Saturday
C,Naypyitaw,Member,Female,Electronic accessories,1115730.0,Ewallet,4.7,afternoon,Tuesday
B,Mandalay,Member,Male,Electronic accessories,175360.5,Ewallet,6.0,afternoon,Wednesday
C,Naypyitaw,Member,Female,Food and beverages,913752.0,Credit card,4.0,evening,Saturday
C,Naypyitaw,Member,Male,Electronic accessories,94893.75,Ewallet,5.5,afternoon,Saturday
A,Yangon,Member,Male,Home and lifestyle,274428.0,Ewallet,8.7,evening,Friday
C,Naypyitaw,Normal,Male,Health and beauty,663484.5,Cash,7.4,afternoon,Saturday
B,Mandalay,Member,Male,Fashion accessories,52967.25,Cash,5.6,evening,Wednesday
C,Naypyitaw,Member,Female,Sports and travel,48793.50000000001,Cash,6.3,afternoon,Wednesday
C,Naypyitaw,Normal,Male,Electronic accessories,389655.0,Cash,7.1,evening,Sunday
B,Mandalay,Normal,Male,Electronic accessories,595822.5,Ewallet,7.8,evening,Tuesday
B,Mandalay,Normal,Female,Health and beauty,527404.5,Cash,9.9,morning,Tuesday
A,Yangon,Member,Male,Home and lifestyle,1146285.0,Cash,7.3,evening,Sunday
B,Mandalay,Member,Male,Sports and travel,529011.0,Ewallet,5.1,afternoon,Wednesday
B,Mandalay,Member,Male,Fashion accessories,379134.0,Credit card,9.4,evening,Saturday
A,Yangon,Normal,Female,Electronic accessories,74135.25,Credit card,5.8,afternoon,Thursday
C,Naypyitaw,Normal,Female,Electronic accessories,157011.75,Credit card,8.0,morning,Wednesday
A,Yangon,Member,Female,Fashion accessories,416508.75,Ewallet,7.9,morning,Friday
A,Yangon,Member,Female,Sports and travel,219948.75,Cash,5.9,afternoon,Tuesday
A,Yangon,Member,Male,Fashion accessories,87333.75,Credit card,4.9,evening,Tuesday
B,Mandalay,Normal,Female,Sports and travel,203033.25,Cash,9.3,morning,Sunday
C,Naypyitaw,Member,Male,Sports and travel,188968.5,Credit card,7.9,afternoon,Wednesday
B,Mandalay,Member,Female,Fashion accessories,555187.5,Credit card,5.9,evening,Sunday
C,Naypyitaw,Member,Female,Food and beverages,1371825.0,Credit card,9.9,afternoon,Tuesday
C,Naypyitaw,Normal,Female,Sports and travel,311220.0,Cash,7.7,morning,Thursday
A,Yangon,Normal,Female,Fashion accessories,306369.0,Ewallet,7.6,afternoon,Monday
B,Mandalay,Member,Male,Food and beverages,272821.5,Ewallet,7.7,afternoon,Wednesday
B,Mandalay,Normal,Female,Health and beauty,113211.0,Ewallet,6.4,evening,Saturday
C,Naypyitaw,Member,Female,Health and beauty,450859.49999999994,Ewallet,4.4,afternoon,Saturday
B,Mandalay,Normal,Female,Sports and travel,127953.00000000001,Credit card,4.1,morning,Thursday
A,Yangon,Member,Male,Fashion accessories,882629.9999999999,Ewallet,4.4,evening,Monday
B,Mandalay,Member,Male,Food and beverages,294210.0,Cash,5.5,evening,Saturday
B,Mandalay,Normal,Female,Health and beauty,346862.25,Ewallet,4.0,afternoon,Saturday
C,Naypyitaw,Normal,Male,Health and beauty,423864.00000000006,Credit card,9.3,evening,Friday
A,Yangon,Normal,Female,Electronic accessories,716310.0,Credit card,4.8,morning,Friday
B,Mandalay,Member,Male,Fashion accessories,263875.5,Cash,4.6,evening,Sunday
B,Mandalay,Member,Female,Sports and travel,706482.0,Credit card,7.3,evening,Tuesday
A,Yangon,Member,Female,Food and beverages,462861.0,Cash,6.0,evening,Saturday
C,Naypyitaw,Normal,Male,Health and beauty,928462.5,Ewallet,8.1,afternoon,Thursday
A,Yangon,Member,Male,Food and beverages,458325.0,Ewallet,9.4,afternoon,Friday
B,Mandalay,Member,Female,Electronic accessories,62181.0,Cash,6.5,evening,Tuesday
B,Mandalay,Normal,Female,Sports and travel,54825.75,Credit card,7.0,morning,Monday
C,Naypyitaw,Normal,Female,Fashion accessories,466074.0,Ewallet,7.1,afternoon,Wednesday
A,Yangon,Member,Male,Fashion accessories,67662.0,Ewallet,6.6,afternoon,Wednesday
B,Mandalay,Member,Female,Sports and travel,218106.0,Ewallet,4.9,evening,Thursday
B,Mandalay,Member,Female,Home and lifestyle,154665.0,Credit card,6.4,afternoon,Tuesday
B,Mandalay,Member,Female,Sports and travel,204214.5,Credit card,8.0,morning,Tuesday
A,Yangon,Member,Male,Home and lifestyle,1001070.0,Cash,4.3,evening,Wednesday
C,Naypyitaw,Member,Male,Sports and travel,229572.0,Cash,6.1,afternoon,Wednesday
A,Yangon,Normal,Female,Food and beverages,317047.5,Cash,7.5,morning,Friday
C,Naypyitaw,Member,Female,Sports and travel,994943.2499999999,Cash,6.7,afternoon,Friday
C,Naypyitaw,Member,Male,Food and beverages,606816.0,Ewallet,5.2,evening,Tuesday
A,Yangon,Member,Male,Health and beauty,765922.5,Cash,8.8,afternoon,Monday
C,Naypyitaw,Member,Female,Fashion accessories,809014.4999999999,Cash,9.5,afternoon,Sunday
C,Naypyitaw,Normal,Female,Food and beverages,745605.0,Cash,7.6,afternoon,Wednesday
A,Yangon,Member,Female,Home and lifestyle,688038.75,Cash,6.6,evening,Tuesday
A,Yangon,Member,Female,Sports and travel,170352.0,Ewallet,6.9,evening,Tuesday
B,Mandalay,Normal,Male,Home and lifestyle,391796.99999999994,Ewallet,4.3,evening,Sunday
A,Yangon,Member,Male,Electronic accessories,986296.4999999999,Credit card,7.8,evening,Tuesday
C,Naypyitaw,Normal,Male,Home and lifestyle,1535625.0,Ewallet,8.0,evening,Saturday
